kode;nama;kategori;satuan_kecil;harga_beli;harga_jual;satuan_besar
0115f0030;LISTERINE NAT GREEN TEA 250ML;Obat Bebas;Botol;217005;24304.56;Botol
0115f0034;LISTERINE ORIG 250ML;Obat Bebas;Botol;19305;21620;Botol
OBT1123;LISTERINE TARTAR CONTROL 250 ML;Obat Bebas;Botol;217005;24740;Botol
OBT0067;LOSTACEF 250 MG/5 ML SIRUP 60 ML;Obat Keras;Botol;1210254;14400;Botol
OBT0629;LUXOR JELLY GAMAT;Obat Herbal;Botol;175000;196000;Botol
OBT0087;M KING MORINGA KING;Obat Herbal;Botol;234500;265000;Botol
0113f1889;MADU AM BALITA 150ML;Obat Herbal;Botol;32500;36400;Botol
OBT0617;MADU ANGKAK EL-KAUTSAR;Obat Herbal;Botol;45000;54000;Botol
0113f1956;MADU ARAB AL SHIFA 125G;Obat Herbal;Botol;17750;19900;Botol
0113f1957;MADU ARAB AL SHIFA 250G;Obat Herbal;Botol;55000;61600;Botol
0113f1958;MADU ARAB AL SHIFA 500G;Obat Herbal;Botol;73500;82320;Botol
QBOL5915;MADU BIMA 99 MADU PAHIT HITAM SUPER 150 ML;Obat Herbal;Botol;60000;67200;Botol
LCCZ3242;MADU EMTE 280 G;Obat Herbal;Botol;36000;40320;Botol
OBT0619;MADU GURAH EL-KAUTSAR;Obat Herbal;Botol;40000;48000;Botol
OBT0618;MADU HIJAU EL-KAUTSAR;Obat Herbal;Botol;45000;54000;Botol
OBT0770;MADU HITAM PAHIT 350 G;Obat Herbal;Botol;50000;57000;Botol
OBT0769;MADU HITAM PAHIT PREMIUM 500 G;Obat Herbal;Botol;65000;74750;Botol
IFYB2482;MADU JADIED 165 GR;Obat Herbal;Botol;25000;28800;Botol
0113f2219;MADU KAPUK PRAMUKA 350ML;Obat Herbal;Botol;90000;100800;Botol
OBT0620;MADU KUNING SEHAT LAMBUNG EL-KAUTSAR;Obat Herbal;Botol;44000;52800;Botol
OBT1116;MADU LAMBUNG SEHAT 125GR;Obat Herbal;Botol;60000;68400;Botol
OBT1117;MADU LAMBUNG SEHAT 250GR;Obat Herbal;Botol;125000;142500;Botol
0113f2331;MADU MURNI FLORA PRAMUKA 350ML;Obat Herbal;Botol;56100;62832;Botol
0113f2347;MADU MURNI TJ 150ML;Obat Herbal;Botol;149073;16845.25;Botol
0113f2348;MADU MURNI TJ 250ML;Obat Herbal;Botol;228327;25800.95;Botol
OBT0152;MADU NUSANTARA 100 ML;Obat Herbal;Botol;37730;42634.9;Botol
OBT0350;MADU PAHIT GAMAT NAHALA GOLDY;Obat Herbal;Botol;67000;75050;Botol
0113f2517;MADU SARI BUNGA ALAM 350ML;Obat Herbal;Botol;55000;61600;Botol
0113f2519;MADU SARI BUNGA ALAM BALITA 150ML;Obat Herbal;Botol;40000;44800;Botol
OBT0130;MADU SP PENYUBUR PRIA 280GR;Vitamin;Botol;449999;50400;Botol
OBT0129;MADU SUKA PENYUBUR KANDUNGAN 350ML;Vitamin;Botol;50000;56000;Botol
0113f2614;MADU SUPER PRAMUKA 350ML;Obat Herbal;Botol;71400;79968;Botol
0113f2615;MADU SUPER PRAMUKA 650ML;Obat Herbal;Botol;132100;147952;Botol
0113f2632;MADU SUPER TJ 250ML;Obat Herbal;Botol;244684;27400;Botol
0113f2634;MADU SUPER TJ 500ML;Obat Herbal;Botol;436414;48900;Botol
0113f2640;MADU SYAMIL SI BUAH HATI 125ML;Obat Herbal;Botol;18000;20160;Botol
8,99E+12;MADU TJ KURMA 250GR;Vitamin;Botol;220946;24750;Botol
OBT0932;MADU TJ MANUKA 500 G;Obat Herbal;Botol;82093;94406.95;Botol
8,99E+12;madu tj panas dalam 150gr;Vitamin;Botol;15895;17800;Botol
OBT0041;MADU ZESTMAG 280 G;Obat Herbal;Botol;127500;150000;Botol
OBT0489;MADURASA ORIGINAL 150 G;Obat Herbal;Botol;958596;10930;Botol
0101a0222;MAGTRAL F SUSP 120ML;Obat Bebas;Botol;44000;49280;Botol
0101a0225;MAGTRAL SYR 120ML;Obat Bebas;Botol;398379;44620;Botol
0112h0127;MALTOFER DROP 30ML;Vitamin;Botol;6104889;68374.76;Botol
8,99E+12;MALTOFER SIRUP 150ML;Vitamin;Botol;69375;77700;Botol
0113f2782;MASTIN CAP 60S;Obat Herbal;Botol;6375017;71400;Botol
OBT1155;MAXITON 30 KAPSUL;Vitamin;Botol;90000;;Botol
12100541;MEDICATED OIL 12ML;Obat Bebas;Botol;16650;18648;Botol
12100542;MEDICATED OIL 20ML;Obat Bebas;Botol;23310;26107.2;Botol
12100543;MEDICATED OIL 40ML;Obat Bebas;Botol;37740;42268.8;Botol
OBT0197;MEDIKLIN SOLUTION;Obat Keras;Botol;4465752;52695.87;Botol
0110a0052;MEDISIO CONCENTRATE 10ML;Obat Bebas;Botol;23000;25800;Botol
0110a0053;MEDISIO CONCENTRATE 5ML;Obat Bebas;Botol;14000;15700;Botol
0116m0085;MELANOX PREMIUM SERUM 15ML;Obat Bebas;Botol;151250;169400;Botol
LNFE0939;MERCOTIN DROPS 20 ML;Obat Keras;Botol;9273704;109429.71;Botol
0113f2859;MERIT PLUS 30S;Obat Bebas;Botol;21500;24100;Botol
OBT0296;METHISOPRINOL 250 MG SIRUP 60 ML;Obat Keras;Botol;53350;65500;Botol
OBT0237;METRONIDAZOL INFUS 500MG/ML;Obat Keras;Botol;12100;15125;Botol
0103c0314;MEXTRIL ATT SYR 60ML;Obat Keras;Botol;9159;11000;Botol
0103c0317;MEXTRIL SYR 60ML;Obat Keras;Botol;9159;11000;Botol
0116k0044;MINOL DROP 15ML;Obat Bebas;Botol;18000;20200;Botol
1,15E+79;MINOSEP GARGLE 150ML;Obat Bebas;Botol;314019;35170;Botol
1,15E+81;MINOSEP GARGLE 60ML;Obat Bebas;Botol;42000;47000;Botol
1,15E+82;MINOSEP GARGLE HIJAU 150ML;Obat Bebas;Botol;29000;32500;Botol
OBT0697;MINYAK ANGIN CAP BERUANG 30 ML;Obat Bebas;Botol;17000;19380;Botol
0113f2897;MINYAK IKAN TUNG HAI CAP 500S;Obat Herbal;Botol;46600;52192;Botol
OBT0785;MINYAK KARO MEJUAH JUAH;Obat Bebas;Botol;25000;28500;Botol
012101062x17;MINYAK KUTUS KUTUS 100 ML;Obat Herbal;Botol;10676202;119573.46;Botol
GQHI8735;MINYAK SAPU JAGAT 110 ML;Obat Herbal;Botol;115000;132250;Botol
0113f2914;MINYAK ZAITUN AL AROBI CAP 85S;Obat Herbal;Botol;35000;39200;Botol
0113f2931;MINYAK ZAITUN EXTRA VIRGIN AL JAZIRA 60ML;Obat Herbal;Botol;16000;17900;Botol
12100598;MIPI 30ML;Obat Bebas;Botol;17787;19921;Botol
12100593;MIPI HOT 60ML;Obat Bebas;Botol;30500;34200;Botol
12100596;MIPI MUSCLE PAIN RELIEVER 100ML;Obat Bebas;Botol;402486;45078.43;Botol
12100597;MIPI MUSCLE PAIN RELIEVER 60ML;Obat Bebas;Botol;26000;29100;Botol
OBT0937;MIXSAGA 10 ML;Obat Herbal;Botol;22000;24860;Botol
OBT0800;MONELL DROPS 10 ML;Obat Keras;Botol;45815;54519.85;Capsul
0103c0926;MUCERA 15MG/1ML DROP 15ML;Obat Keras;Botol;40700;48000;Botol
0103c0927;MUCERA 15MG/5ML SYR 60ML;Obat Keras;Botol;301476;35574.17;Botol
0103c0929;MUCERA 30MG/5ML SYR 60ML;Obat Keras;Botol;30000;35400;Botol
0103c0932;MUCOHEXIN ELIX 4MG/5ML 120ML;Obat Keras;Botol;18648;22004.64;Botol
0103c0934;MUCOPECT 15MG/5ML ANAK SYR 60ML;Obat Keras;Botol;5343695;63060;Botol
0103c0936;MUCOPECT 30MG/5ML DEWASA SYR 60ML;Obat Keras;Botol;6649962;78450;Botol
0103c0937;MUCOPECT 7.5MG/ML DROP 20ML;Obat Keras;Botol;710908;83900;Botol
0103c0939;MUCOS 15MG/1ML DROP 20ML;Obat Keras;Botol;2872125;33890;Botol
0103c0940;MUCOS 15MG/5ML SYR 60ML;Obat Keras;Botol;14652;17289.36;Botol
OBT0743;MUSTIKA RATU MINYAK ZAITUN 75 ML;Obat Bebas;Botol;16500;18240;Botol
OBT0667;MUSTIKA RATU MINYAK ZAITUN FOR MASSAGE 175 ML;Obat Bebas;Botol;244856;28158.44;Botol
12100872;MY BABY MINYAK TELON PLUS 150ML;Obat Bebas;Botol;3059771;34270;Botol
12100874;MY BABY MINYAK TELON PLUS 60ML;Obat Bebas;Botol;1452363;16410;Botol
12100607;MY BABY MINYAK TELON PLUS 90ML;Obat Bebas;Botol;1965061;22008.68;Botol
OBT0281;MY BABY POWDER TELON PLUS 350 G;Obat Bebas;Botol;13420;15433;Botol
0108n0002;MYCOSTATIN 100.000IU/1ML ORAL SUSP 12ML;Obat Keras;Botol;679875;80225.25;Botol
0101a0236;MYLANTA LIQ 150ML;Obat Bebas;Botol;3483014;39360;Botol
0101a0237;MYLANTA LIQ 50ML;Obat Bebas;Botol;1233765;13940;Botol
OBT0894;MYWELL VITAMIN D3 1000 IU 20 TABLET;Vitamin;Botol;138195;15616.03;Botol
OBT1064;NaCl 500ML BRAUN ECOSOL;Obat Keras;Botol;15350;18113;Botol
0104k0447;NAPREX 250MG/5ML SYR 60ML;Obat Bebas;Botol;4336992;48574.31;Botol
0104k0448;NAPREX 60MG/0.6ML DROP 15ML;Obat Bebas;Botol;473242;53550;Botol
0101i0078;NARFOZ 4MG/5ML SYR 30ML;Obat Keras;Botol;5952375;70238.02;Botol
0101i0079;NARFOZ 4MG/5ML SYR 60ML;Obat Keras;Botol;78144;92209.92;Botol
OBT0375;NASACORT AQ NASAL SPRAY;Obat Keras;Botol;25818208;307200;Botol
OBT0686;NASONEX NASAL SPRAY 140 DOSIS;Obat Keras;Botol;328900;368350;Botol
30001591;NATUR E DAILY NOURISHING LOTION 100ML;Obat Bebas;Botol;10424;11700;Botol
30001592;NATUR E DAILY NOURISHING LOTION 245ML;Obat Bebas;Botol;20913;23400;Botol
OBT0649;NATUR HAIR VITAMIN ALOE VERA & PROVITAMIN B5 80ML;Obat Bebas;Botol;23650;26961;Botol
OBT0654;NATUR HAIR VITAMIN GINSENG & VITAMIN E 80ML;Obat Bebas;Botol;23650;26961;Botol
OBT0748;NATURAL OMEGA 3 1000 MG 60 SOFTGEL;Vitamin;Botol;278630;317638.2;Botol
OBT0144;NATURES PLUS VITAMIN D3 1000 IU 180 KAPSUL;Vitamin;Botol;440000;2800;Capsul
0116a0095;NEBACETIN PWD 5G;Obat Keras;Botol;21756;23931.6;Botol
0101a0245;NECIBLOK SUSP 100ML;Obat Keras;Botol;66000;77880;Botol
0101a0246;NECIBLOK SUSP 200ML;Obat Keras;Botol;104500;123310;Botol
0101d0067;NEO KAOLANA SYR 120ML;Obat Bebas;Botol;139971;15680;Botol
OBT0810;NEO RHEUMACYL HOT CREAM 110 ML;Obat Bebas;Botol;17155;19728.25;Botol
OBT0113;NEOKAOMINAL;Obat Bebas;Botol;5994;6720.12;Botol
8,99E+12;NERIL HAIR TONIC ANTIDANDRUFF 200ML;Obat Bebas;Botol;57200;64100;Botol
OBT0538;NESTLE ACTICOR AVOCADO 85 ML;Obat Bebas;Botol;6600;7600;Botol
OBT0887;NESTLE ACTICOR CHOCOLATE 85 ML;F&b;Botol;6200;7100;Botol
0104p0226;NEUROTAM SYR 100ML;Obat Keras;Botol;66000;77900;Botol
0101d0071;NIFURAL 250MG/5ML SYR 60ML;Obat Keras;Botol;650034;76704.01;Botol
0103c0868;NIPE DROP 15ML;Obat Keras;Botol;708624;83620;Botol
OBT0204;NIPE FEVER SIRUP 60 ML;Obat Bebas;Botol;34650;43500;Botol
OBT0633;NITACUR SIRUP;Vitamin;Botol;6923;7800;Botol
0102b0035;NITRAL 500MCG TAB 30S;Obat Keras;Botol;93750;3700;Tablet
BSYX8210;NOROID SOOTHING LOTION 200 ML;Obat Bebas;Botol;1602095;181050;Botol
0112a0046;NOURISH E 400IU CAP 30S;Obat Bebas;Botol;105000;117600;Botol
OBT0378;NOURISH WRINKLE REMOVER FACIAL FOAM 100 ML;Obat Bebas;Botol;34122;38900;Botol
0104l0319;NOVALGIN 250MG/5ML SYR 60ML;Obat Keras;Botol;45061;53200;Botol
OBT0297;NU HEALTH VITAMIN D3 1000 IU 60 TABLET;Vitamin;Botol;150150;172650;Botol
OBT0108;NUTRAFOR ACNE FACIAL WASH 50GR;Obat Bebas;Botol;18414;21590.91;Botol
OBT0107;NUTRAFOR NWB ANTISEPTIK HONEY VANILLA 90ML;Obat Bebas;Botol;21483;24300;Botol
0113f3461;NUTRIKIDS AL JAZIRA SYR 125ML;Obat Herbal;Botol;18500;20700;Botol
8,94E+12;NUTRIMAX C+ PLUS 30 TABLET;Vitamin;Botol;123750;136130;Botol
ZFYM8612;NUTRIMAX C+ PLUS 60 TABLET;Vitamin;Botol;228750;263060;Botol
8,94E+12;NUTRIMAX OMEGA 3 KIDS 30CAPS;Vitamin;Botol;157500;176400;Botol
OBT0462;NUTRIMAX VITAMIN D3 1000 IU 60 TABLET;Vitamin;Botol;1049994;118650;Botol
CDJM9410;NUTRINIDRINK COKLAT 200 ML;Vitamin;Botol;2451102;26960;Botol
KDHF3364;NUTRINIDRINK STROBERI 200 ML;Vitamin;Botol;2451102;26960;Botol
ADHX3338;NUTRINIDRINK VANILA 200 ML;Obat Bebas;Botol;2549115;28040;Botol
OBT0492;NUTRIWELL MAGNESIUM 30 KAPSUL;Obat Herbal;Botol;165000;188100;Botol
0108n0095;NYMIKO ORAL DROP 12ML;Obat Keras;Botol;3743475;42301.27;Botol
0108n0132x17;NYSTATIN NOVELL 100.000IU/ML SUSP 12ML;Obat Keras;Botol;16940;20000;Botol
OBT0103;NYTEX DRY SYRUP 100 MG/5 ML 75 ML;Obat Keras;Botol;2949375;31260;Botol
OBT0109;NYTEX DRY SYRUP 150 ML;Obat Keras;Botol;43560;46170;Botol
OBT1015;OB COMBI ANTITUSSIVE RASA MENTHOL 60 ML;Obat Bebas;Botol;1419024;16180;Botol
0103c0373;OB HERBAL SYR 100ML;Obat Bebas;Botol;200244;22630;Botol
0103c0374;OB HERBAL SYR 60ML;Obat Bebas;Botol;1391163;15720.14;Botol
0103c0375;OB HERBAL SYR JUNIOR 60 ML;Obat Bebas;Botol;137863;15440.66;Botol
OBT1068;OBAHAMA 50 KAPSUL;Obat Herbal;Botol;63750;72037.5;Botol
QYUO3028;OBAT BATUK CAP IBU & ANAK SIRUP 150 ML;Obat Bebas;Botol;4075143;46050;Botol
CRNQ6563;OBAT BATUK CAP IBU & ANAK SIRUP 300 ML;Obat Bebas;Botol;6217998;70263.38;Botol
0103c0401;OBH COMBI JAHE SYR 100ML(GEPENG);Obat Bebas;Botol;12210;13800;Botol
0103c0404;OBH COMBI MENTHOL SYR 100ML (GEPENG);Obat Bebas;Botol;1207458;13640;Botol
0103c0408;OBH COMBI PLUS ANAK APEL SYR 60ML;Oot Prekursor;Botol;13365;15370;Botol
0103c0410;OBH COMBI PLUS ANAK JERUK SYR 60ML;Oot Prekursor;Botol;1321677;15200;Botol
0103c0411;OBH COMBI PLUS ANAK MADU SYR 60ML;Oot Prekursor;Botol;13487;15510.05;Botol
0103c0413;OBH COMBI PLUS ANAK STRAW SYR 60ML;Oot Prekursor;Botol;134865;15510;Botol
0103c0415;OBH COMBI PLUS BATUK FLU JAHE SYR 100ML;Oot Prekursor;Botol;1615383;18580;Botol
OBT1168;OBH COMBI PLUS BATUK FLU MADU SIRUP 60 ML;Obat Bebas;Botol;1152069;13130;Botol
0103c0416;OBH COMBI PLUS BATUK FLU MADU SYR 100ML;Oot Prekursor;Botol;1615605;19390;Botol
OBT0554;OBH COMBI PLUS BATUK FLU MENTHOL 60 ML;Obat Bebas;Botol;1163946;13390;Botol
0103c04052;OBH COMBI PLUS BATUK FLU MENTHOL SYR 100ML;Oot Prekursor;Botol;164835;18960;Botol
0103c0422;OBH IKA GENERIK SYR 100ML;Obat Bebas;Botol;111683;12600;Botol
0103c0423;OBH IKA GENERIK SYR 200ML;Obat Bebas;Botol;177676;19900;Botol
0103c0425;OBH ITRASAL SYR 100ML;Obat Bebas;Botol;5750;6500;Botol
OBT0343;OBH NELLCO BATUK BERDAHAK 100 ML;Obat Bebas;Botol;1463535;16540;Botol
OBT1044;OBH NELLCO BATUK BERDAHAK MENTHOL SIRUP 55 ML;Obat Bebas;Botol;100011;11401.25;Botol
0103c0444;OBH NELLCO SPECIAL PE SIRUP 55 ML;Oot Prekursor;Botol;180375;20740;Botol
0103c0442;OBH NELLCO SYR 100ML;Oot Prekursor;Botol;2503716;28790;Botol
OBT0714;OBH TROPICA EXTRA ANAK RASA JERUK SIRUP 60 ML;Obat Bebas;Botol;184926;21270;Botol
OBT0715;OBH TROPICA EXTRA ANAK RASA STRAWBERRY SIRUP 60 ML;Obat Bebas;Botol;18326;21070;Botol
0103c0466;OBH TROPICA PLUS MENTHOL SYR 100ML;Oot Prekursor;Botol;250194;28772.31;Botol
0103c0467;OBH TROPICA PLUS MENTHOL SYR 60ML;Oot Prekursor;Botol;19404;23280;Botol
0103c0474;OBP ITRASAL SYR 100ML;Obat Bebas;Botol;449999;5050;Botol
OBT0627;OFLOXACIN TETES TELINGA 3 MG/ML 5 ML;Obat Keras;Botol;27500;32450;Botol
0113f3639;OM3HEART CAP 30S BTL;Obat Bebas;Botol;3726825;41740;Botol
0113f3640;OM3HEART CAP 60S BTL;Obat Bebas;Botol;62645;70160;Botol
0116k0081;ONE MED ASEPTIC GEL 500ML;Obat Bebas;Botol;26000;29100;Botol
0116k0083;ONE MED ASEPTIC GEL PUMP 500ML;Obat Bebas;Botol;30800;34500;Botol
8,99E+12;OREZINC SIRUP 60 ML;Obat Bebas;Botol;3504011;39600;Botol
0103c0958;OROXIN SYR 60ML;Obat Keras;Botol;3057273;36075.82;Botol
OBT0191;OSCAL 0.25 MCG 30 KAPSUL;Obat Keras;Botol;209000;8290.34;Capsul
OBT0676;OSSOVIT SIRUP 100ML;Vitamin;Botol;77550;88407;Botol
1,12E+124;OSTEOCARE SYR 100ML;Obat Bebas;Botol;697026;78066.91;Botol
OBT1114;OSTRIOL 30 KAPSUL;Obat Keras;Botol;166500;6550;Capsul
0115b0008;OTILON EAR DROP 8ML;Obat Keras;Botol;43845;51737.1;Botol
0115b0009;OTOPAIN EAR DROP 8ML;Obat Keras;Botol;8304188;97989.41;Botol
12000107;OTSU D5 INFUS 500ML;Obat Keras;Botol;164373;19400;Botol
12000117;OTSU NS INFUS 25ML;Obat Keras;Botol;701742;7859.51;Botol
12000118;OTSU NS INFUS 500ML;Obat Keras;Botol;686202;8100;Botol
MOMG3300;OTSU SODIUM CHLORIDE INFUS 100 ML;Alat Kesehatan;Botol;15180;17450;Botol
OBT0879;OTTOPAN DROPS 15 ML;Obat Bebas;Botol;33000;37290;Botol
OBT0880;OTTOPAN SIRUP 60 ML;Obat Bebas;Botol;24420;27594.6;Botol
OBT0398;OVALE FACIAL LOTION BENGKOANG 200 ML;Obat Bebas;Botol;23100;25870;Botol
0116k0084;OXOFERIN SOL 0,001% 30ML;Obat Keras;Botol;75075;88588;Botol
FTDG5542;OXYCAN GREEN KALENG;Alat Kesehatan;Botol;3946938;45390;Botol
0118a0214;OZEN 5MG/5ML SYR 60ML;Obat Keras;Botol;36630;41390;Botol
0118a0215;OZEN DROP 12ML 10MG/ML;Obat Keras;Botol;66600;75258;Botol
OBT0202;PACDIN COUGH SIRUP 60ML;Obat Bebas;Botol;424999;4800;Botol
OBT1081;PADOLIN;Obat Herbal;Botol;31365011;354424.63;Botol
0104k0222;PAMOL 120MG/5MG SYR 60ML;Obat Bebas;Botol;31350;36960;Botol
OBT0799;PAMOL DROP 15 ML;Obat Bebas;Botol;52725;60106.5;Botol
0104k0228;PANADOL 160MG/5ML SYR 30ML;Obat Bebas;Botol;236302;26700;Botol
0104k0229;PANADOL 160MG/5ML SYR 60ML;Obat Bebas;Botol;4530399;51200;Botol
0104k0231;PANADOL ANAK JERUK SUSP 60ML;Obat Bebas;Botol;434995;48719.44;Botol
OBT0664;PANTENE CONDITIONER 3 MINUTE MIRACLE HAIR FALL 180 ML;Obat Bebas;Botol;17400;20900;Botol
OBT0430;PANTENE SHAMPOO HIJAB PERAWATAN RAMBUT RONTOK 135 ML;Obat Bebas;Botol;171435;19200;Botol
4,90E+12;PANTENE SHAMPOO SMOOTH & SILKY 400ML;Obat Bebas;Botol;38000;42600;Botol
OBT0941;PARACETAMOL DROP;;Botol;962481;10880;Botol
OBT1106;PARACETAMOL INFUS;Obat Keras;Botol;22200;28860;Botol
OBT0940;PARACETAMOL SYR 60ML;;Botol;425019;4760;Botol
OBT0185;PARAM KOCOK 75ML PARCOK;Obat Bebas;Botol;1299861;14558.45;Botol
0116j0078;PARASOL SPF 30 100GR;Obat Bebas;Botol;93060;104230;Botol
0103c0493;PARATUSIN SYR 60ML;Oot Prekursor;Botol;318459;36620;Botol
12100927;PARCOK AIR MANCUR 25ML;Obat Bebas;Botol;605505;6781.66;Botol
12100650;PARCOK AIR MANCUR MINYAK URUT 30ML;Obat Bebas;Botol;7881;8826.72;Botol
0112g0113;PEDIAGROW SYR 200ML;Vitamin;Botol;51615;57808.8;Botol
0113d0013;PEDIALYTE BUBLE GUM 500ML;Obat Bebas;Botol;38295;42890;Botol
0113d0014;PEDIALYTE SOL 500ML;Obat Bebas;Botol;38295;42890;Botol
0116m0196;PEDITOX 50ML;Obat Bebas;Botol;76923;8615.38;Botol
OBT1073;PEPTOVELL SUSPENSI 100 ML;Obat Keras;Botol;576534;68030;Botol
OBT0490;PHENACOLD SIRUP 120 ML;Obat Bebas;Botol;15400;17710;Botol
OBT0260;PHENACOLD SIRUP 60 ML;Obat Keras;Botol;10230;12150;Botol
ISHA5464;PHISOHEX FACIAL FOAM WASH 1.5% 110ML;Obat Bebas;Botol;405405;45400;Botol
MFXY4454;PHYSIOGEL DAILY MOISTURE CARE DERMO CLEANSER 60 ML;Obat Bebas;Botol;664697;74400;Botol
30001921;PHYSIOGEL LOTION 200ML;Obat Bebas;Botol;21803397;244200;Botol
OBT0793;PHYSIOMER NORMAL JET NASAL SPRAY 135 ML;Obat Bebas;Botol;155413;177170;Botol
8,99E+12;PIMTRAKOL CHERRY SYR 60ML (MERAH) (P);Oot Prekursor;Botol;1351859;16220;Botol
0103c0513;PIMTRAKOL LEMON SYR 60ML ( BIRU ) (P);Oot Prekursor;Botol;1351859;16220;Botol
0101a0333;PLANTACID F SYR 100ML;Obat Bebas;Botol;2532465;28360;Botol
0101a0335;PLANTACID SYR 100ML;Obat Bebas;Botol;1001775;11219.88;Botol
OBT0735;POLAR BEAR MINYAK ANGIN 18 ML;Obat Bebas;Botol;229153;26352.59;Botol
OBT0736;POLAR BEAR MINYAK ANGIN 8 ML;Obat Bebas;Botol;1480074;17020.85;Botol
OBT1093;POLIDEMISIN EYE DROPS 5 ML;Obat Keras;Botol;31524;37198.32;Botol
0101a0339;POLYCROL F GEL SYR 100ML;Obat Bebas;Botol;263625;29526;Botol
0101a0340;POLYCROL F GEL SYR 180ML;Obat Bebas;Botol;35904;40200;Botol
0101a0342;POLYCROL GEL SYR 100ML;Obat Bebas;Botol;17424;19510;Botol
0101a0351;POLYSILANE SYR 100ML;Obat Bebas;Botol;19536;22080;Botol
0101a0352;POLYSILANE SYR 180ML;Obat Bebas;Botol;283272;32009.74;Botol
0104l0375;PONDEX 50MG/5ML SUSP 60ML;Obat Keras;Botol;11275;13304;Botol
HXFI2798;POND'S BB MAGIC POWDER 50 G;Obat Bebas;Botol;10000;16800;Botol
0104k0326;PRAXION 100MG/ML DROP 15ML;Obat Bebas;Botol;2266176;25607.79;Botol
0104k0327;PRAXION 120MG/5ML SYR 60ML;Obat Bebas;Botol;224664;25162.37;Botol
0104k0328;PRAXION FORTE 250MG/5ML SYR 60ML;Obat Bebas;Botol;263736;29538.43;Botol
0101p0002;PRIMPERAN 2.6MG/ML DROP 10ML;Obat Keras;Botol;50000;59000;Botol
OBT0072;PRIMPERAN SYRUP 50ML;Obat Keras;Botol;239316;28240;Botol
0103b0071;PROFILAS 0,2MG/ML SYR 60ML;Obat Keras;Botol;77000;90860;Botol
0110a0059;PROGINA CARE 100ML;Obat Bebas;Botol;38000;42600;Botol
OBT1014;PROMAG SUSPENSI 60 ML;Obat Bebas;Botol;1084692;12365.49;Botol
OBT0366;PROME SIRUP 100 ML;Obat Bebas;Botol;48951;54825.12;Botol
0103c0535;PROME SYR 60ML;Obat Bebas;Botol;33744;37793.28;Botol
0103c0536;PROMEDEX SYR 60ML;Oot Prekursor;Botol;30000;36000;Botol
0101a0374;PROPEPSA SYR 100ML;Obat Keras;Botol;667554;78771.37;Botol
0101a0375;PROPEPSA SYR 200ML;Obat Keras;Botol;93896;110800;Botol
0113f3898;PROPOLIS BRAZILIAN NANO TECH 6ML;Obat Herbal;Botol;4285714;48000;Botol
0104k0336;PRORIS 100MG/5ML SYR 60ML;Obat Bebas;Botol;224664;25160;Botol
0104k0340;PRORIS F 200MG/5ML SYR 50ML;Obat Bebas;Botol;263736;29802.17;Botol
0103c0876;PROSPAN SYR 100ML;Obat Bebas;Botol;75147;84164.64;Botol
OBT0699;PROVE D3 DROPS 12.5 ML;Obat Keras;Botol;175000;197750;Botol
0113f3926;PROZA SYR 60ML;Vitamin;Botol;85000;95200;Botol
OBT0600;PURE BABY HAIR LOTION 80 ML;Obat Bebas;Botol;18000;20500;Botol
OBT0845;PURE BABY LIQUID SOAP 80 ML;Obat Bebas;Botol;2857917;32866.05;Botol
OBT0524;PURE BABY LOTION 80 ML;Obat Bebas;Botol;3359304;37960.14;Botol
OBT0827;PURE BABY WARMING OIL 60ML;Obat Bebas;Botol;271997;31300;Botol
OBT0846;PURE BABY WASH FRUITY 230 ML;Obat Bebas;Botol;38073;43783.95;Botol
OBT0842;PURE KIDS AISE BELLY NATURAL 60 ML;Obat Bebas;Botol;2599362;29892.67;Botol
UPDG4162;PUREKIDS INHALANT DECONGESTANT OIL GERANIUM 10 ML;Obat Bebas;Botol;473748;54481.02;Botol
OBT0839;PUREKIDS INHALANT DECONGESTANT OIL LEMON 10 ML;Obat Bebas;Botol;473748;54481.02;Botol
30002111;PUROL BEDAK LADIES 90G PINK;Obat Bebas;Botol;12000;13400;Botol
0108l0061;PYRAVIT SYR 110ML;Obat;Botol;36960;40656;Botol
WEZJ6566;RANIVEL 75MG/5 ML SIRUP 60 ML;Obat Keras;Botol;65268;77016.24;Botol
OBT0388;RECO 0.5% EYE DROPS 10 ML;Obat Bebas;Botol;899999;10350;Botol
0116m0124;REGROU 2% LIQ 30ML;Obat Keras;Botol;61161;70335.15;Botol
0116m0125;REGROU FORTE LIQ 30ML;Obat Keras;Botol;1065603;122540;Botol
OBT1161;RENALOF 325 MG 90 KAPSUL;Obat Herbal;Botol;1221000;1391940;Botol
0113d0017;RENALYTE LIQ 200ML;Obat Bebas;Botol;32200;36100;Botol
OBT0900;RENASISTIN DROPS 15 ML;Obat Keras;Botol;61050;72649.5;Botol
1,12E+166;RENOVIT GOLD TAB 30S BTL;Vitamin;Botol;8068146;91170.05;Botol
OBT0178;RESIK-V MANJAKANI WHITENING LIQUID 50 ML;Obat Bebas;Botol;9100;10300;Botol
OBT0261;RESIK-V MANJAKANI WHITENING LIQUID 90 ML;Obat Bebas;Botol;17300;19700;Botol
0104p0186;RG CHOLINE 500MG/5ML SYR 60ML;Obat Bebas;Botol;120000;134400;Botol
0103c0561;RHINATHIOL 100MG/5ML INFANT SYR 100ML;Obat Keras;Botol;45441;53600;Botol
0103c0562;RHINATHIOL 250MG/5ML ADULT SYR 100ML;Obat Keras;Botol;39900;47100;Botol
